### Footprint positions - created on 2026-03-02T22:49:06+0100 ###
### Printed by KiCad version 9.0.5
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                   Package                                                                     PosX       PosY       Rot  Side
C1        100p                  C_0603_1608Metric                                                        95.0000   -81.0000  180.0000  top
C2        1n                    C_0603_1608Metric                                                        90.7250   -73.5000  180.0000  top
C3        2.2n                  C_0603_1608Metric                                                        94.0000   -57.3650  -90.0000  top
C4        1u                    C_0603_1608Metric                                                        96.2250   -54.1400    0.0000  top
C5        1u                    C_0603_1608Metric                                                       101.5000   -48.7750   90.0000  top
C6        100u                  CP_EIA-1608-08_AVX-J                                                     94.2850   -37.1325    0.0000  top
C7        100n                  C_0603_1608Metric                                                        94.2250   -41.1325    0.0000  top
C8        100n                  C_0603_1608Metric                                                        78.0000   -30.3575   90.0000  top
C9        100n                  C_0603_1608Metric                                                        80.5300   -30.3575   90.0000  top
C10       100n                  C_0603_1608Metric                                                       103.0000   -19.0000  180.0000  top
C11       100n                  C_0603_1608Metric                                                       103.0000   -22.5000  180.0000  top
D1        1N5819                D_DO-41_SOD81_P10.16mm_Horizontal                                        93.0000   -33.2125   90.0000  top
J1        Conn_01x02_Socket     JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                                   107.0000   -88.0000  -90.0000  top
J2        Conn_01x03_Socket     JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical                                   106.5000   -80.0000  180.0000  top
J3        Conn_01x03_Socket     JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical                                   106.5000  -100.5000  180.0000  top
J4        Conn_01x02_Socket     JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                                   107.0000   -46.0000  -90.0000  top
J5        Screw_Terminal_01x02  TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal    87.0000   -23.1325  180.0000  top
J6        Conn_01x24_Socket     PinSocket_1x24_P2.54mm_Vertical                                          63.5000   -49.0800    0.0000  top
J7        Conn_01x24_Socket     PinSocket_1x24_P2.54mm_Vertical                                          79.0027   -49.1170    0.0000  top
J8        Conn_01x05_Socket     Molex_SL_171971-0005_1x05_P2.54mm_Vertical                               82.5000   -70.7000   90.0000  top
J9        Conn_01x02_Socket     Molex_SL_171971-0002_1x02_P2.54mm_Vertical                               85.0000   -63.0800   90.0000  top
J10       Conn_01x03_Socket     JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical                                    38.5000   -36.5000   90.0000  top
J11       Conn_01x03_Socket     JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical                                    50.0000   -36.5000   90.0000  top
J12       Conn_01x03_Socket     JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical                                    39.0000   -22.0000   90.0000  top
J13       Conn_01x03_Socket     JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical                                    50.0000   -22.0000   90.0000  top
J14       Conn_01x02_Socket     JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                                    38.4750   -60.7500   90.0000  top
J15       Conn_01x02_Socket     JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                                    38.4750   -50.2500   90.0000  top
J16       Conn_01x02_Socket     JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                                    38.4750  -103.7500   90.0000  top
J17       Conn_01x02_Socket     JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                                    38.4750   -93.2500   90.0000  top
J18       Conn_01x02_Socket     JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                                    38.4750   -82.7500   90.0000  top
J19       Conn_01x02_Socket     JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                                    64.5000   -36.0000   90.0000  top
J20       Conn_01x02_Socket     JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                                    64.5000   -25.0000   90.0000  top
J21       Conn_01x02_Socket     JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                                    38.5000   -72.0000   90.0000  top
J22       Conn_01x02_Socket     JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                                    47.5000   -72.0000   90.0000  top
J23       Conn_01x03_Socket     PinSocket_1x03_P2.54mm_Vertical                                          73.0000   -31.5000  180.0000  top
R1        10k                   R_0603_1608Metric                                                       100.1750   -85.0000  180.0000  top
R2        10k                   R_0603_1608Metric                                                       100.1750   -87.9000  180.0000  top
R3        1M                    R_0603_1608Metric                                                        95.1750   -77.4000  180.0000  top
R4        1M                    R_0603_1608Metric                                                        95.1550   -74.5000    0.0000  top
R5        1M                    R_0603_1608Metric                                                        90.9900   -76.1000    0.0000  top
R6        3.3k                  R_0603_1608Metric                                                        91.6550   -54.0000    0.0000  top
R7        1M                    R_0603_1608Metric                                                        98.0000   -50.8450   90.0000  top
R8        1M                    R_0603_1608Metric                                                        98.5000   -56.8200   90.0000  top
R9        100                   R_0603_1608Metric                                                       101.5000   -52.3250   90.0000  top
R10       100k                  R_0603_1608Metric                                                       101.5000   -44.8200  -90.0000  top
R11       330                   R_0603_1608Metric                                                        45.6500   -47.7500    0.0000  top
U1        MCP6002-xMS           DIP-8_W7.62mm                                                            96.1950   -62.1900    0.0000  top
U2        LM7805_TO220          TO-220-3_Vertical                                                        84.9200   -35.0525  180.0000  top
U3        LD1117V               TO-220-3_Vertical                                                       101.0500   -26.9600  -90.0000  top
## End
